Rider,Bike,Points
Aleix Espargaro,ART,93
Aleix Espargaro,Aprilia,92
Aleix Espargaro,Ducati,65
Aleix Espargaro,Forward Yamaha,126
Aleix Espargaro,Honda,36
Aleix Espargaro,Pons Kalex,76
Aleix Espargaro,Suzuki,105
Alex Marquez,Honda,278
Alex Marquez,KTM,213
Alex Marquez,Kalex,262
Alex Marquez,Suter Honda,27
Alex Rins,Honda,237
Alex Rins,KTM,311
Alex Rins,Kalex,234
Alex Rins,Suter Honda,141
Alex Rins,Suzuki,205
Andrea Dovizioso,Aprilia,0
Andrea Dovizioso,Ducati,269
Andrea Dovizioso,Honda,293
Andrea Dovizioso,Yamaha,218
Andrea Iannone,Aprilia,125
Andrea Iannone,Ducati,188
Andrea Iannone,Speed Up,199
Andrea Iannone,Suter,177
Andrea Iannone,Suzuki,133
Brad Binder,Aprilia,0
Brad Binder,KTM,319
Brad Binder,Kalex KTM,24
Brad Binder,Mahindra,109
Cal Crutchlow,Ducati,74
Cal Crutchlow,Honda,148
Cal Crutchlow,Yamaha,188
Danilo Petrucci,ART,17
Danilo Petrucci,Ducati,176
Danilo Petrucci,Ioda-Suter,27
Fabio Quartararo,Honda,92
Fabio Quartararo,KTM,83
Fabio Quartararo,Kalex,64
Fabio Quartararo,Speed Up,138
Fabio Quartararo,Yamaha,192
Francesco Bagnaia,Ducati,54
Francesco Bagnaia,FTR Honda,0
Francesco Bagnaia,KTM,50
Francesco Bagnaia,Kalex,306
Francesco Bagnaia,Mahindra,145
Franco Morbidell,Honda,50
Franco Morbidell,Kalex,308
Franco Morbidell,Suter,0
Franco Morbidell,Yamaha,115
Iker Lecuona,KTM,90
Iker Lecuona,Kalex,2
Jack Miller,Ducati,165
Jack Miller,FTR Honda,110
Jack Miller,Honda,82
Jack Miller,KTM,276
Joan Mir,Honda,341
Joan Mir,KTM,144
Joan Mir,Kalex,155
Joan Mir,Suzuki,92
Johann Zarco,Aprilia,77
Johann Zarco,Caterham Suter,146
Johann Zarco,Derbi,262
Johann Zarco,Honda,30
Johann Zarco,Kalex,352
Johann Zarco,Motobi,95
Johann Zarco,Suter,141
Johann Zarco,Yamaha,174
Marc Marquez,Derbi,310
Marc Marquez,Honda,420
Marc Marquez,KTM,94
Marc Marquez,Suter,328
Maverick Viñales,Aprilia,248
Maverick Viñales,FTR Honda,207
Maverick Viñales,KTM,323
Maverick Viñales,Kalex,274
Maverick Viñales,Suzuki,202
Maverick Viñales,Yamaha,230
Miguel Oliveira,Aprilia,44
Miguel Oliveira,KTM,297
Miguel Oliveira,Kalex,36
Miguel Oliveira,Mahindra,150
Miguel Oliveira,Suter Honda,114
Pol Espargaro,Aprilia,110
Pol Espargaro,Derbi,281
Pol Espargaro,FTR,75
Pol Espargaro,KTM,100
Pol Espargaro,Kalex,269
Pol Espargaro,Yamaha,136
Takaaki Nakagami,Aprilia,43
Takaaki Nakagami,Honda,74
Takaaki Nakagami,Kalex,169
Tito Rabat,Aprilia,147
Tito Rabat,Ducati,35
Tito Rabat,FTR,79
Tito Rabat,Honda,74
Tito Rabat,KTM,49
Tito Rabat,Kalex,346
Valentino Rossi,Aprilia,321
Valentino Rossi,Ducati,163
Valentino Rossi,Honda,357
Valentino Rossi,Yamaha,373
